N,Wide_Area,Narrow_Area,Exact_Area
100,0.583328,1.01606,0.944517
600,1.03703,0.944981,0.944517
1100,0.928022,0.959046,0.944517
1600,0.874992,0.97608,0.944517
2100,0.90277,0.941397,0.944517
2600,0.960996,0.947072,0.944517
3100,1.00985,0.941205,0.944517
3600,0.923603,0.94742,0.944517
4100,0.912932,0.942024,0.944517
4600,0.917262,0.941345,0.944517
5100,1.01034,0.948425,0.944517
5600,0.953117,0.94304,0.944517
6100,0.906868,0.946969,0.944517
6600,0.911819,0.936048,0.944517
7100,0.95852,0.945394,0.944517
7600,0.927441,0.947072,0.944517
8100,0.914601,0.944826,0.944517
8600,0.910037,0.955386,0.944517
9100,0.954051,0.95169,0.944517
9600,0.926641,0.946288,0.944517
10100,0.931785,0.951605,0.944517
10600,0.915348,0.947427,0.944517
11100,0.961703,0.947015,0.944517
11600,0.895945,0.94545,0.944517
12100,0.979445,0.945258,0.944517
12600,0.930547,0.938411,0.944517
13100,0.952176,0.945588,0.944517
13600,0.952912,0.941907,0.944517
14100,0.957734,0.945159,0.944517
14600,0.937587,0.94037,0.944517
15100,0.918774,0.944206,0.944517
15600,0.92298,0.944579,0.944517
16100,0.988518,0.941579,0.944517
16600,0.945858,0.949792,0.944517
17100,0.969939,0.941534,0.944517
17600,0.92747,0.941655,0.944517
18100,0.908832,0.943364,0.944517
18600,0.937193,0.944307,0.944517
19100,0.908078,0.94566,0.944517
19600,0.929555,0.94304,0.944517
20100,0.957703,0.942485,0.944517
20600,0.938705,0.951456,0.944517
21100,0.933049,0.935985,0.944517
21600,0.933955,0.948001,0.944517
22100,0.961656,0.943014,0.944517
22600,0.980387,0.940411,0.944517
23100,0.942332,0.947425,0.944517
23600,0.970978,0.937026,0.944517
24100,0.944782,0.949544,0.944517
24600,0.929926,0.950947,0.944517
25100,0.952847,0.945498,0.944517
25600,0.943731,0.945553,0.944517
26100,0.942414,0.945606,0.944517
26600,0.93603,0.9466,0.944517
27100,0.904051,0.945938,0.944517
27600,0.947556,0.94489,0.944517
28100,0.925852,0.946514,0.944517
28600,0.920883,0.9458,0.944517
29100,0.945152,0.943947,0.944517
29600,0.937069,0.946224,0.944517
30100,0.947343,0.945884,0.944517
30600,0.935041,0.941784,0.944517
31100,0.951894,0.952134,0.944517
31600,0.938371,0.950406,0.944517
32100,0.946772,0.944942,0.944517
32600,0.934637,0.945033,0.944517
33100,0.942548,0.944514,0.944517
33600,0.928233,0.947035,0.944517
34100,0.940282,0.939218,0.944517
34600,0.955354,0.944643,0.944517
35100,0.926234,0.946053,0.944517
35600,0.94627,0.941011,0.944517
36100,0.946629,0.944518,0.944517
36600,0.950432,0.947003,0.944517
37100,0.931071,0.938636,0.944517
37600,0.923086,0.944036,0.944517
38100,0.950524,0.942743,0.944517
38600,0.930152,0.943075,0.944517
39100,0.927706,0.947569,0.944517
39600,0.9511,0.943809,0.944517
40100,0.936574,0.947369,0.944517
40600,0.931984,0.942839,0.944517
41100,0.943591,0.94666,0.944517
41600,0.95749,0.944961,0.944517
42100,0.92164,0.942826,0.944517
42600,0.941632,0.942567,0.944517
43100,0.967025,0.941382,0.944517
43600,0.953706,0.94267,0.944517
44100,0.962293,0.946347,0.944517
44600,0.961314,0.945075,0.944517
45100,0.951088,0.946196,0.944517
45600,0.926588,0.944679,0.944517
46100,0.966309,0.93846,0.944517
46600,0.943423,0.938781,0.944517
47100,0.950127,0.948204,0.944517
47600,0.935245,0.941801,0.944517
48100,0.933204,0.94672,0.944517
48600,0.95601,0.946969,0.944517
49100,0.954987,0.942384,0.944517
49600,0.965353,0.93989,0.944517
50100,0.946986,0.944931,0.944517
50600,0.953961,0.943031,0.944517
51100,0.922557,0.94625,0.944517
51600,0.948285,0.944301,0.944517
52100,0.947955,0.949877,0.944517
52600,0.931181,0.945379,0.944517
53100,0.95958,0.947202,0.944517
53600,0.939927,0.943585,0.944517
54100,0.975628,0.943026,0.944517
54600,0.970255,0.943304,0.944517
55100,0.962156,0.939525,0.944517
55600,0.956651,0.942627,0.944517
56100,0.927329,0.946233,0.944517
56600,0.969637,0.944435,0.944517
57100,0.945482,0.941108,0.944517
57600,0.940819,0.945264,0.944517
58100,0.962174,0.943261,0.944517
58600,0.92211,0.943176,0.944517
59100,0.9352,0.942519,0.944517
59600,0.955575,0.945683,0.944517
60100,0.942934,0.941614,0.944517
60600,0.943336,0.946534,0.944517
61100,0.954233,0.945193,0.944517
61600,0.930705,0.943875,0.944517
62100,0.921803,0.942961,0.944517