category;algo;n;trial;time_ns
random;quick;1000;0;197000
random;hybrid;1000;0;165000
random;quick;1000;1;181000
random;hybrid;1000;1;154000
random;quick;1000;2;187000
random;hybrid;1000;2;161000
random;quick;1000;3;190000
random;hybrid;1000;3;151000
random;quick;1000;4;174000
random;hybrid;1000;4;172000
random;quick;1000;5;176000
random;hybrid;1000;5;165000
random;quick;1000;6;183000
random;hybrid;1000;6;167000
random;quick;1000;7;176000
random;hybrid;1000;7;163000
random;quick;1000;8;219000
random;hybrid;1000;8;171000
random;quick;1000;9;177000
random;hybrid;1000;9;184000
random;quick;5000;0;1153000
random;hybrid;5000;0;1003000
random;quick;5000;1;1056000
random;hybrid;5000;1;1083000
random;quick;5000;2;1114000
random;hybrid;5000;2;1016000
random;quick;5000;3;1091000
random;hybrid;5000;3;1055000
random;quick;5000;4;1141000
random;hybrid;5000;4;979000
random;quick;5000;5;1108000
random;hybrid;5000;5;958000
random;quick;5000;6;1045000
random;hybrid;5000;6;1011000
random;quick;5000;7;1083000
random;hybrid;5000;7;1031000
random;quick;5000;8;1080000
random;hybrid;5000;8;974000
random;quick;5000;9;1085000
random;hybrid;5000;9;999000
random;quick;10000;0;2389000
random;hybrid;10000;0;2194000
random;quick;10000;1;2310000
random;hybrid;10000;1;2120000
random;quick;10000;2;2382000
random;hybrid;10000;2;2169000
random;quick;10000;3;2334000
random;hybrid;10000;3;2116000
random;quick;10000;4;2395000
random;hybrid;10000;4;2195000
random;quick;10000;5;2258000
random;hybrid;10000;5;2170000
random;quick;10000;6;2252000
random;hybrid;10000;6;2082000
random;quick;10000;7;2376000
random;hybrid;10000;7;2723000
random;quick;10000;8;2377000
random;hybrid;10000;8;2075000
random;quick;10000;9;2499000
random;hybrid;10000;9;2049000
random;quick;20000;0;5154000
random;hybrid;20000;0;4613000
random;quick;20000;1;5036000
random;hybrid;20000;1;4830000
random;quick;20000;2;4893000
random;hybrid;20000;2;5765000
random;quick;20000;3;6216000
random;hybrid;20000;3;4446000
random;quick;20000;4;5812000
random;hybrid;20000;4;5153000
random;quick;20000;5;4859000
random;hybrid;20000;5;4548000
random;quick;20000;6;4883000
random;hybrid;20000;6;4383000
random;quick;20000;7;4790000
random;hybrid;20000;7;5395000
random;quick;20000;8;4946000
random;hybrid;20000;8;4850000
random;quick;20000;9;5097000
random;hybrid;20000;9;4793000
random;quick;50000;0;14483000
random;hybrid;50000;0;14140000
random;quick;50000;1;15277000
random;hybrid;50000;1;11948000
random;quick;50000;2;12750000
random;hybrid;50000;2;12092000
random;quick;50000;3;13585000
random;hybrid;50000;3;11882000
random;quick;50000;4;13171000
random;hybrid;50000;4;11744000
random;quick;50000;5;12333000
random;hybrid;50000;5;12061000
random;quick;50000;6;12448000
random;hybrid;50000;6;11331000
random;quick;50000;7;12264000
random;hybrid;50000;7;11803000
random;quick;50000;8;11812000
random;hybrid;50000;8;11237000
random;quick;50000;9;12437000
random;hybrid;50000;9;11153000
sorted;quick;1000;0;121000
sorted;hybrid;1000;0;80000
sorted;quick;1000;1;402000
sorted;hybrid;1000;1;191000
sorted;quick;1000;2;133000
sorted;hybrid;1000;2;78000
sorted;quick;1000;3;127000
sorted;hybrid;1000;3;78000
sorted;quick;1000;4;125000
sorted;hybrid;1000;4;97000
sorted;quick;1000;5;133000
sorted;hybrid;1000;5;87000
sorted;quick;1000;6;135000
sorted;hybrid;1000;6;89000
sorted;quick;1000;7;129000
sorted;hybrid;1000;7;81000
sorted;quick;1000;8;128000
sorted;hybrid;1000;8;80000
sorted;quick;1000;9;124000
sorted;hybrid;1000;9;78000
sorted;quick;5000;0;747000
sorted;hybrid;5000;0;522000
sorted;quick;5000;1;741000
sorted;hybrid;5000;1;544000
sorted;quick;5000;2;911000
sorted;hybrid;5000;2;565000
sorted;quick;5000;3;734000
sorted;hybrid;5000;3;519000
sorted;quick;5000;4;790000
sorted;hybrid;5000;4;620000
sorted;quick;5000;5;741000
sorted;hybrid;5000;5;563000
sorted;quick;5000;6;717000
sorted;hybrid;5000;6;649000
sorted;quick;5000;7;745000
sorted;hybrid;5000;7;545000
sorted;quick;5000;8;749000
sorted;hybrid;5000;8;504000
sorted;quick;5000;9;735000
sorted;hybrid;5000;9;495000
sorted;quick;10000;0;1784000
sorted;hybrid;10000;0;1173000
sorted;quick;10000;1;1601000
sorted;hybrid;10000;1;1172000
sorted;quick;10000;2;2148000
sorted;hybrid;10000;2;1158000
sorted;quick;10000;3;1599000
sorted;hybrid;10000;3;1141000
sorted;quick;10000;4;2457000
sorted;hybrid;10000;4;1228000
sorted;quick;10000;5;1563000
sorted;hybrid;10000;5;1295000
sorted;quick;10000;6;1573000
sorted;hybrid;10000;6;1158000
sorted;quick;10000;7;1598000
sorted;hybrid;10000;7;1140000
sorted;quick;10000;8;1520000
sorted;hybrid;10000;8;1156000
sorted;quick;10000;9;1891000
sorted;hybrid;10000;9;1180000
sorted;quick;20000;0;3173000
sorted;hybrid;20000;0;2521000
sorted;quick;20000;1;3228000
sorted;hybrid;20000;1;2717000
sorted;quick;20000;2;3083000
sorted;hybrid;20000;2;2739000
sorted;quick;20000;3;3187000
sorted;hybrid;20000;3;2759000
sorted;quick;20000;4;3196000
sorted;hybrid;20000;4;3085000
sorted;quick;20000;5;3378000
sorted;hybrid;20000;5;2555000
sorted;quick;20000;6;3173000
sorted;hybrid;20000;6;2853000
sorted;quick;20000;7;3144000
sorted;hybrid;20000;7;2649000
sorted;quick;20000;8;3172000
sorted;hybrid;20000;8;2827000
sorted;quick;20000;9;3072000
sorted;hybrid;20000;9;2583000
sorted;quick;50000;0;8929000
sorted;hybrid;50000;0;6865000
sorted;quick;50000;1;8977000
sorted;hybrid;50000;1;7081000
sorted;quick;50000;2;9530000
sorted;hybrid;50000;2;8316000
sorted;quick;50000;3;8927000
sorted;hybrid;50000;3;6920000
sorted;quick;50000;4;8835000
sorted;hybrid;50000;4;7203000
sorted;quick;50000;5;10624000
sorted;hybrid;50000;5;7439000
sorted;quick;50000;6;9154000
sorted;hybrid;50000;6;7192000
sorted;quick;50000;7;9080000
sorted;hybrid;50000;7;6911000
sorted;quick;50000;8;9146000
sorted;hybrid;50000;8;6982000
sorted;quick;50000;9;9080000
sorted;hybrid;50000;9;7854000
reverse;quick;1000;0;119000
reverse;hybrid;1000;0;114000
reverse;quick;1000;1;123000
reverse;hybrid;1000;1;111000
reverse;quick;1000;2;130000
reverse;hybrid;1000;2;103000
reverse;quick;1000;3;129000
reverse;hybrid;1000;3;115000
reverse;quick;1000;4;117000
reverse;hybrid;1000;4;113000
reverse;quick;1000;5;129000
reverse;hybrid;1000;5;112000
reverse;quick;1000;6;545000
reverse;hybrid;1000;6;125000
reverse;quick;1000;7;341000
reverse;hybrid;1000;7;165000
reverse;quick;1000;8;144000
reverse;hybrid;1000;8;123000
reverse;quick;1000;9;129000
reverse;hybrid;1000;9;110000
reverse;quick;5000;0;718000
reverse;hybrid;5000;0;677000
reverse;quick;5000;1;810000
reverse;hybrid;5000;1;715000
reverse;quick;5000;2;737000
reverse;hybrid;5000;2;805000
reverse;quick;5000;3;750000
reverse;hybrid;5000;3;700000
reverse;quick;5000;4;713000
reverse;hybrid;5000;4;689000
reverse;quick;5000;5;711000
reverse;hybrid;5000;5;670000
reverse;quick;5000;6;813000
reverse;hybrid;5000;6;1247000
reverse;quick;5000;7;829000
reverse;hybrid;5000;7;660000
reverse;quick;5000;8;743000
reverse;hybrid;5000;8;756000
reverse;quick;5000;9;739000
reverse;hybrid;5000;9;691000
reverse;quick;10000;0;2251000
reverse;hybrid;10000;0;1492000
reverse;quick;10000;1;1671000
reverse;hybrid;10000;1;1423000
reverse;quick;10000;2;1552000
reverse;hybrid;10000;2;1471000
reverse;quick;10000;3;1580000
reverse;hybrid;10000;3;1716000
reverse;quick;10000;4;1604000
reverse;hybrid;10000;4;1472000
reverse;quick;10000;5;1582000
reverse;hybrid;10000;5;2137000
reverse;quick;10000;6;1538000
reverse;hybrid;10000;6;1452000
reverse;quick;10000;7;2257000
reverse;hybrid;10000;7;1433000
reverse;quick;10000;8;1581000
reverse;hybrid;10000;8;1412000
reverse;quick;10000;9;2081000
reverse;hybrid;10000;9;1467000
reverse;quick;20000;0;4223000
reverse;hybrid;20000;0;3336000
reverse;quick;20000;1;4126000
reverse;hybrid;20000;1;3215000
reverse;quick;20000;2;3419000
reverse;hybrid;20000;2;3182000
reverse;quick;20000;3;3345000
reverse;hybrid;20000;3;3417000
reverse;quick;20000;4;3196000
reverse;hybrid;20000;4;3652000
reverse;quick;20000;5;3292000
reverse;hybrid;20000;5;3400000
reverse;quick;20000;6;4788000
reverse;hybrid;20000;6;3164000
reverse;quick;20000;7;3524000
reverse;hybrid;20000;7;3151000
reverse;quick;20000;8;3404000
reverse;hybrid;20000;8;3085000
reverse;quick;20000;9;3361000
reverse;hybrid;20000;9;3606000
reverse;quick;50000;0;10061000
reverse;hybrid;50000;0;8925000
reverse;quick;50000;1;9740000
reverse;hybrid;50000;1;8994000
reverse;quick;50000;2;9807000
reverse;hybrid;50000;2;8573000
reverse;quick;50000;3;9119000
reverse;hybrid;50000;3;8388000
reverse;quick;50000;4;9572000
reverse;hybrid;50000;4;8739000
reverse;quick;50000;5;10333000
reverse;hybrid;50000;5;9386000
reverse;quick;50000;6;9164000
reverse;hybrid;50000;6;9559000
reverse;quick;50000;7;11033000
reverse;hybrid;50000;7;9572000
reverse;quick;50000;8;11178000
reverse;hybrid;50000;8;8972000
reverse;quick;50000;9;9442000
reverse;hybrid;50000;9;9101000
